word,len,freq,entropy,pmi
行者,2,0.006689897918769404,3.4699804697735646,98.05146743887188
八戒,2,0.002789986074024862,3.3797796879370265,268.82893982779854
师父,2,0.0024689859590397464,3.6218501693130403,219.98316771160228
三藏,2,0.002055358945203204,3.356722042210356,174.19000560258962
一个,2,0.0018349708065567068,3.882724623603887,19.52247260311255
大圣,2,0.0016720752258179913,2.771087037232213,124.03469274354988
唐僧,2,0.0015522990635101124,3.9962765242121274,164.247568205609
沙僧,2,0.001245672088001942,2.96038466390318,162.58191826348863
和尚,2,0.0011690153441248994,3.1041309169946967,586.2996254681648
那里,2,0.0011290899566889397,2.7421808738765177,24.28487429651061
怎么,2,0.0011290899566889397,2.6143967369818015,226.05227532679737
我们,2,0.0010939556157452952,3.9455747208962686,47.93222161070338
不知,2,0.0010620153057965273,3.5904615397164354,42.43655333449649
菩萨,2,0.0009949406549041152,3.7284574489014197,919.0996701536142
长老,2,0.0009757764689348545,2.9003846317994957,97.31841107336287
妖精,2,0.0009645973604527859,3.0440924897719435,171.99366606789604
老孙,2,0.0008975227095603736,3.338874646370365,85.80739310237203
两个,2,0.0008512092601346604,2.844291394336287,54.74658321394253
什么,2,0.000763373407775549,3.541636819370173,415.7059777777778
不是,2,0.0007458062373037268,3.5450629334290187,6.200407756430417
国王,2,0.0007266420513344662,2.5096493463866536,145.32691440545344
那怪,2,0.00069310472588826,3.17825594324565,26.285674048134595
徒弟,2,0.0006499853074574236,2.8528515873758598,316.9839934824655
也不,2,0.0006036718580317103,3.881297101170587,10.9555541237686
那妖,2,0.0005685375170880659,2.3772745827143655,14.546709179112176
小妖,2,0.0005557613931085587,2.915864474543015,70.37845107405506
闻言,2,0.0005557613931085587,2.502089303575343,253.14177377533662
与他,2,0.0005541643776111203,4.292747447291959,21.003328647996657
原来,2,0.0005509703466162435,2.5840788261638346,69.90655415325479
不敢,2,0.0005477763156213668,3.530446475145891,41.44954469802471
不曾,2,0.0005461793001239284,3.318662717615249,40.09316390628791
是个,2,0.00054458228462649,3.96965529469563,6.943430835785382
不得,2,0.0005429852691290517,4.517580373818511,7.58835257310295
这个,2,0.0005302091451495445,2.825924092191737,11.471514703108681
大王,2,0.000523821083159791,3.6620052557556217,26.83773984119741
有一,2,0.000523821083159791,3.5166272947959087,7.422105622216052
如何,2,0.0005126419746777223,4.016101204094048,105.52994321331968
在那,2,0.0005014628661956536,2.868695548299944,9.492955774416762
出来,2,0.0004902837577135849,3.416272932566069,17.496595813582942
一声,2,0.0004902837577135849,2.871846132245255,25.260902834127805
等我,2,0.00048708972671870806,2.0790184969820253,20.28392208509463
只是,2,0.00048549271122126967,2.6381389505616046,14.42494989859989
见了,2,0.00048389569572383133,3.347083306387731,8.76205783979875
你这,2,0.0004727165872417626,3.1309822276293966,10.468927720992662
三个,2,0.00044237329279043326,3.030950942022135,10.845392235721603
与你,2,0.000424806122318611,3.627580969361651,16.76848809790598
这里,2,0.0004184180603288574,2.031940937901158,17.92658445034824
真个,2,0.0004152240293339807,3.073508112515949,33.662342904002045
宝贝,2,0.0004104329828416655,3.2721353745909307,808.2468257794922
这等,2,0.0004088359673442271,3.437277057551191,32.15761219324698
兄弟,2,0.0004072389518467887,2.950776657587393,278.1926424085092
这一,2,0.00040404492085191197,3.202422892222392,6.42888200750272
听得,2,0.0003864777503800897,2.2014412933275316,48.506810296976965
与我,2,0.0003832837193852129,4.135134357462433,11.703186089841306
我等,2,0.0003768956573954594,3.85000446354478,15.695100367483061
今日,2,0.0003768956573954594,3.3059573479030173,137.1023659158194
如今,2,0.000375298641898021,2.5862310912311317,100.93401505475768
上前,2,0.0003737016264005826,3.421052098059111,28.073579779508975
那老,2,0.0003705075954057058,2.6551569254943956,6.53886708530979
怎的,2,0.000367313564410829,3.251648946084793,21.302767818050576
吃了,2,0.00036571654891339063,3.6377237259599617,21.128141686803797
取经,2,0.0003577314714261987,2.2089886613214813,219.7948312930543
起来,2,0.00035453744043132193,3.0718660144598617,26.117882601392605
孙行者,3,0.00035294042493388354,3.3612607976617626,25.808502924325612
在此,2,0.0003497463939390068,4.018055473608672,26.20388349514563
这般,2,0.00034335833194925323,3.2074818218109207,77.34910657856938
不住,2,0.00034176131645181484,2.322638414864024,15.120325335355394
我师父,3,0.0003369702699594997,3.4281459117125723,12.997746963831599
妖怪,2,0.00033217922346718453,3.5083179746550535,39.526129324969425
就是,2,0.00032898519247230774,3.5538322413322394,11.450921196035493
见他,2,0.00032579116147743095,3.6037728682945556,7.95618966482338
铁棒,2,0.0003225971304825542,2.94178251371913,553.95381307126
西天,2,0.0003225971304825542,2.19218566856411,73.9458971540818
认得,2,0.00031780608399023904,2.5530723168435956,96.88601721140418
进去,2,0.0003114180220004855,3.267260409013335,51.949955581877404
不要,2,0.00030822399100560873,3.412280208447539,11.816218698130063
却不,2,0.00030822399100560873,2.70982023170493,8.08146083945788
老爷,2,0.00030343294451329355,3.58652171844926,67.88356419192645
孙大圣,3,0.00030343294451329355,2.792274077317904,88.77441499522445
公主,2,0.00030023891351841676,3.5420758772781036,431.76080689528703
东土,2,0.00029864189802097837,2.2984364536765085,410.5947682165649
果然,2,0.00029385085152866324,3.115475024880771,200.07590786585533
那呆子,3,0.00029385085152866324,2.212256610922266,39.84637337721401
有些,2,0.00029065682053378645,3.6743457941342066,30.68831064614722
人家,2,0.0002858657740414713,3.8142346427181963,31.821273599636594
太子,2,0.00028426875854403293,3.0495090297582133,87.12624475383988
不能,2,0.00028267174304659454,3.9563148932092043,26.093478310003466
